X Y |E| dxE dyE 
12 4 0.653379 -0.0899773 0.647154
12 5 0.628716 -0.103279 0.620176
12 6 0.602179 -0.111931 0.591684
12 7 0.574562 -0.11604 0.562722
12 8 0.546442 -0.115915 0.534006
12 9 0.518149 -0.111972 0.505906
12 10 0.489737 -0.104656 0.478424
12 11 0.460954 -0.094401 0.451184
12 12 0.431205 -0.0816138 0.423411
12 13 0.399542 -0.0667129 0.393933
12 14 0.364759 -0.0502258 0.361284
12 15 0.325685 -0.0329639 0.324012
12 16 0.281832 -0.0162434 0.281363
12 17 0.234327 -0.00198735 0.234319
12 18 0.186519 0.00770704 0.18636
12 19 0.142935 0.0119193 0.142437
12 20 0.106471 0.0120492 0.105787
12 21 0.0781254 0.00990446 0.0774951
12 22 0.0572568 0.00704915 0.0568212
12 23 0.0424345 0.00437089 0.0422088
12 24 0.0321243 0.00221137 0.0320481
12 25 0.0250176 0.000617345 0.0250099
12 26 0.020115 -0.000484014 0.0201092
12 27 0.0167002 -0.00119587 0.0166574
12 28 0.0142796 -0.00161512 0.014188
12 29 0.0125232 -0.00182106 0.0123901
12 30 0.0112158 -0.00187456 0.011058
12 31 0.0102191 -0.00182069 0.0100556
12 32 0.00944542 -0.0016921 0.00929262
12 33 0.00883957 -0.00151209 0.00870928
12 34 0.00836674 -0.00129711 0.00826558
12 35 0.00800516 -0.00105868 0.00793485
12 36 0.00774142 -0.00080485 0.00769947
12 37 0.00756749 -0.000541252 0.00754811
12 38 0.00747894 -0.000271941 0.007474
12 39 0 0 0
13 0 0.68682 0 0.68682
13 1 0.68123 -0.0201803 0.680931
13 2 0.670734 -0.039243 0.669585
13 3 0.655972 -0.0561967 0.65356
13 4 0.637735 -0.0702693 0.633852
13 5 0.616858 -0.0809506 0.611524
13 6 0.594126 -0.0879825 0.587575
13 7 0.570205 -0.0913115 0.562847
13 8 0.545595 -0.0910184 0.53795
13 9 0.520584 -0.0872432 0.513221
13 10 0.495203 -0.0801142 0.488679
13 11 0.469177 -0.0696935 0.463972
13 12 0.441869 -0.0559538 0.438312
13 13 0.412252 -0.0388213 0.41042
13 14 0.378991 -0.0183517 0.378546
13 15 0.340767 0.00484955 0.340733
13 16 0.297026 0.0288698 0.295619
13 17 0.249007 0.0496188 0.244013
13 18 0.200142 0.0611481 0.190572
13 19 0.154649 0.0599245 0.142567
13 20 0.115499 0.0509744 0.103642
13 21 0.0841713 0.0389065 0.0746398
13 22 0.0607473 0.027546 0.0541429
13 23 0.0441008 0.0184646 0.0400492
13 24 0.0326626 0.0118065 0.0304541
13 25 0.0249585 0.00716287 0.0239086
13 26 0.019811 0.00402721 0.0193974
13 27 0.0163564 0.00196335 0.0162381
13 28 0.0139967 0.000640972 0.013982
13 29 0.0123379 -0.000175646 0.0123366
13 30 0.0111309 -0.000649807 0.0111119
13 31 0.0102232 -0.000892951 0.0101841
13 32 0.00952325 -0.000980584 0.00947263
13 33 0.00897615 -0.000963723 0.00892426
13 34 0.00854909 -0.000876853 0.00850401
13 35 0.00822235 -0.000743361 0.00818868
13 36 0.00798411 -0.000579237 0.00796307
13 37 0.00782742 -0.000395599 0.00781742
13 38 0.00774853 -0.000200462 0.00774594
13 39 0 0 0
14 0 0.66664 0 0.66664
14 1 0.662048 -0.0154094 0.661869
14 2 0.653321 -0.0300055 0.652631
14 3 0.640935 -0.0430529 0.639487
14 4 0.625502 -0.0539527 0.623171
14 5 0.607691 -0.0622716 0.604492
14 6 0.58816 -0.0677372 0.584246
14 7 0.567499 -0.0702048 0.56314
14 8 0.546178 -0.0696036 0.541725
14 9 0.524503 -0.0658685 0.52035
14 10 0.502559 -0.0588641 0.4991
14 11 0.480147 -0.0483049 0.477711
14 12 0.456688 -0.0336867 0.455444
14 13 0.431126 -0.014267 0.43089
14 14 0.401892 0.0107908 0.401747
14 15 0.367145 0.041844 0.364753
14 16 0.325664 0.0772542 0.316368
14 17 0.278388 0.110445 0.255543
14 18 0.228186 0.127342 0.189349
14 19 0.17672 0.115656 0.133617
14 20 0.13053 0.0930173 0.091574
14 21 0.0923054 0.0672014 0.0632792
14 22 0.064225 0.0457636 0.0450616
14 23 0.0449787 0.030135 0.0333912
14 24 0.0322807 0.0193872 0.0258104
14 25 0.0240907 0.0122004 0.0207729
14 26 0.0188733 0.00746663 0.0173335
14 27 0.0155459 0.00438108 0.0149158
14 28 0.0133808 0.0023913 0.0131654
14 29 0.0119159 0.00112731 0.0118625
14 30 0.0108742 0.000343928 0.0108687
14 31 0.0100972 -0.000120728 0.0100965
14 32 0.00949684 -0.000373564 0.00948949
14 33 0.00902419 -0.000485365 0.00901113
14 34 0.00865214 -0.000503217 0.0086375
14 35 0.00836539 -0.000458672 0.00835281
14 36 0.00815525 -0.000373136 0.00814671
14 37 0.00801682 -0.000261447 0.00801255
14 38 0.00794754 -0.000134308 0.0079464
14 39 0 0 0
15 0 0.65123 0 0.65123
15 1 0.647374 -0.0114517 0.647272
15 2 0.639973 -0.0223168 0.639584
15 3 0.629404 -0.0320567 0.628588
15 4 0.616166 -0.040217 0.614852
15 5 0.600824 -0.0464459 0.599026
15 6 0.583965 -0.0504897 0.581779
15 7 0.566149 -0.0521669 0.563741
15 8 0.547869 -0.0513227 0.54546
15 9 0.529513 -0.0477632 0.527355
15 10 0.511319 -0.0411686 0.509659
15 11 0.493303 -0.0309754 0.49233
15 12 0.475141 -0.0162209 0.474864
15 13 0.455971 0.00464929 0.455948
15 14 0.434129 0.0339379 0.432801
15 15 0.407036 0.0744814 0.400163
15 16 0.372209 0.127858 0.349559
15 17 0.330762 0.187564 0.27244
15 18 0.284431 0.22212 0.177663
15 19 0.213458 0.18234 0.110978
15 20 0.153081 0.138237 0.0657581
15 21 0.100266 0.0911181 0.0418414
15 22 0.0651942 0.058172 0.029433
15 23 0.0433145 0.0369245 0.0226434
15 24 0.029912 0.0234071 0.0186236
15 25 0.0218139 0.0147849 0.0160391
15 26 0.0169915 0.00925782 0.0142479
15 27 0.0141282 0.00570305 0.012926
15 28 0.0123819 0.00341585 0.0119014
15 29 0.0112493 0.00194966 0.0110791
15 30 0.0104539 0.00101894 0.0104041
15 31 0.00985349 0.000439677 0.00984367
15 32 0.00937814 9.24199e-05 0.00937769
15 33 0.00899385 -0.000100958 0.00899328
15 34 0.00868416 -0.000191977 0.00868204
15 35 0.00844108 -0.000214974 0.00843834
15 36 0.00826066 -0.000193188 0.0082584
15 37 0.00814095 -0.000142746 0.00813969
15 38 0.00808106 -7.53211e-05 0.00808071
15 39 0 0 0
16 0 0.639779 0 0.639779
16 1 0.636459 -0.00808044 0.636407
16 2 0.630041 -0.0157533 0.629844
16 3 0.62084 -0.02264 0.620427
16 4 0.609286 -0.0284127 0.608623
16 5 0.595886 -0.0328053 0.594982
16 6 0.581193 -0.0356088 0.580101
16 7 0.565773 -0.0366506 0.564585
16 8 0.550183 -0.035757 0.549019
16 9 0.534949 -0.0326931 0.533949
16 10 0.520557 -0.0270716 0.519852
16 11 0.507411 -0.0182072 0.507084
16 12 0.495758 -0.00487085 0.495734
16 13 0.485473 0.0151472 0.485236
16 14 0.475558 0.04583 0.473344
16 15 0.463237 0.0942852 0.45354
16 16 0.44399 0.172135 0.409264
16 17 0.422195 0.289832 0.306996
16 18 0.414818 0.391232 0.137883
16 19 0.262026 0.253349 0.0668751
16 20 0.187403 0.186474 0.0186388
16 21 0.101253 0.100862 0.00889528
16 22 0.0594481 0.0588818 0.00818544
16 23 0.0371231 0.0359839 0.00912605
16 24 0.0246517 0.0225318 0.0100014
16 25 0.0177272 0.0142741 0.0105121
16 26 0.0140261 0.00907676 0.0106932
16 27 0.0120968 0.00575746 0.0106388
16 28 0.0110451 0.00361939 0.0104352
16 29 0.0103919 0.00223653 0.0101484
16 30 0.00991611 0.00134249 0.00982482
16 31 0.00952743 0.000768079 0.00949642
16 32 0.00919322 0.000404525 0.00918431
