X Y V 
13 82 -5.32178
13 83 -5.16439
13 84 -4.99246
13 85 -4.80467
13 86 -4.59961
13 87 -4.37587
13 88 -4.13198
13 89 -3.86659
13 90 -3.57844
13 91 -3.26656
13 92 -2.93037
13 93 -2.56981
13 94 -2.18558
13 95 -1.77925
13 96 -1.35341
13 97 -0.911708
13 98 -0.458774
13 99 0
14 0 0
14 1 -0.420296
14 2 -0.835971
14 3 -1.24266
14 4 -1.63655
14 5 -2.0145
14 6 -2.37418
14 7 -2.714
14 8 -3.0331
14 9 -3.33122
14 10 -3.60857
14 11 -3.86574
14 12 -4.10358
14 13 -4.3231
14 14 -4.52542
14 15 -4.7117
14 16 -4.88308
14 17 -5.0407
14 18 -5.18562
14 19 -5.31885
14 20 -5.44136
14 21 -5.554
14 22 -5.6576
14 23 -5.75289
14 24 -5.84054
14 25 -5.92118
14 26 -5.99537
14 27 -6.06361
14 28 -6.12637
14 29 -6.18406
14 30 -6.23707
14 31 -6.28574
14 32 -6.33037
14 33 -6.37126
14 34 -6.40865
14 35 -6.44278
14 36 -6.47384
14 37 -6.50202
14 38 -6.52749
