X Y |E| dxE dyE 
6 19 0.354373 0.345694 -0.0779489
6 20 0.343166 0.335962 -0.069947
6 21 0.333019 0.327018 -0.062936
6 22 0.323818 0.318804 -0.0567635
6 23 0.315463 0.311263 -0.0513044
6 24 0.307866 0.304341 -0.0464551
6 25 0.300951 0.297987 -0.0421296
6 26 0.294651 0.292157 -0.038256
6 27 0.288907 0.286807 -0.0347738
6 28 0.283667 0.281898 -0.0316318
6 29 0.278885 0.277395 -0.0287867
6 30 0.274521 0.273268 -0.026201
6 31 0.270539 0.269486 -0.023843
6 32 0.266906 0.266024 -0.021685
6 33 0.263596 0.262859 -0.019703
6 34 0.260583 0.25997 -0.0178761
6 35 0.257845 0.257337 -0.0161859
6 36 0.255363 0.254944 -0.0146162
6 37 0.253118 0.252776 -0.0131527
6 38 0.251096 0.250819 -0.0117824
6 39 0.249282 0.249061 -0.010494
6 40 0.247666 0.247492 -0.00927686
6 41 0.246236 0.246102 -0.00812162
6 42 0.244983 0.244882 -0.00701959
6 43 0.2439 0.243827 -0.00596273
6 44 0.242979 0.242929 -0.00494358
6 45 0.242216 0.242184 -0.00395511
6 46 0.241606 0.241587 -0.00299068
6 47 0.241144 0.241136 -0.00204391
6 48 0.240829 0.240827 -0.00110862
6 49 0.240659 0.240659 -0.00017879
6 50 0.240633 0.240632 0.000751556
6 51 0.240751 0.240746 0.00168838
6 52 0.241015 0.241 0.00263772
6 53 0.241425 0.241399 0.00360573
6 54 0.241986 0.241942 0.0045988
6 55 0.242701 0.242635 0.00562356
6 56 0.243574 0.243482 0.00668703
6 57 0.244611 0.244487 0.00779668
6 58 0.24582 0.245657 0.00896051
6 59 0.247209 0.246999 0.0101872
6 60 0.248788 0.248522 0.0114862
6 61 0.250566 0.250235 0.0128679
6 62 0.252557 0.252149 0.0143439
6 63 0.254774 0.254276 0.0159269
6 64 0.257234 0.256629 0.0176314
6 65 0.259956 0.259225 0.0194734
6 66 0.262958 0.26208 0.0214715
6 67 0.266265 0.265213 0.0236463
6 68 0.269902 0.268645 0.026022
6 69 0.273899 0.272399 0.0286262
6 70 0.27829 0.276503 0.0314906
6 71 0.283113 0.280984 0.0346526
6 72 0.288409 0.285874 0.0381555
6 73 0.29423 0.29121 0.0420506
6 74 0.30063 0.297028 0.0463982
6 75 0.307675 0.303373 0.0512703
6 76 0.315437 0.31029 0.0567528
6 77 0.324003 0.31783 0.0629492
6 78 0.333472 0.326046 0.0699847
6 79 0.343959 0.334995 0.0780116
6 80 0.355599 0.344737 0.0872168
6 81 0.36855 0.355328 0.0978303
6 82 0.383 0.366822 0.110138
6 83 0.399172 0.379262 0.124494
6 84 0.417334 0.392668 0.141347
6 85 0.437804 0.407025 0.161256
6 86 0.460972 0.422252 0.184928
6 87 0.487308 0.438168 0.213255
6 88 0.517382 0.454426 0.247349
6 89 0.551886 0.470422 0.288585
6 90 0.591637 0.485155 0.338614
6 91 0.637564 0.497032 0.399309
6 92 0.690608 0.503597 0.472578
6 93 0.751452 0.50122 0.559873
6 94 0.819894 0.484819 0.661194
6 95 0.893648 0.447857 0.773324
6 96 0.966475 0.38311 0.8873
6 97 1.02646 0.284934 0.986119
6 98 1.05713 0.153544 1.04592
6 99 0 0 0
7 0 0.891713 0 -0.891713
7 1 0.861931 0.115979 -0.854093
7 2 0.818495 0.219485 -0.788518
7 3 0.770031 0.302786 -0.708003
7 4 0.722036 0.363797 -0.623689
7 5 0.677014 0.404403 -0.542961
7 6 0.635706 0.428348 -0.469723
7 7 0.5981 0.439718 -0.405428
7 8 0.563952 0.442141 -0.350076
7 9 0.532982 0.438519 -0.302936
7 10 0.504922 0.431022 -0.262994
7 11 0.479522 0.421202 -0.229194
7 12 0.456549 0.410138 -0.200558
7 13 0.435778 0.398555 -0.176229
7 14 0.417001 0.386931 -0.15548
